,Metric,texture,covariate1,covariate2,r,p
0,roughness,9.0,sitting,hand,0.3719298245614035,0.11687923396377846
0,roughness,10.0,sitting,hand,0.543859649122807,0.016082818325237152
0,roughness,11.0,sitting,hand,0.48947368421052634,0.03341526206953935
0,roughness,12.0,sitting,hand,0.06666666666666667,0.7862629610688756
0,roughness,13.0,sitting,hand,0.5,0.02925803623664952
0,roughness,14.0,sitting,hand,0.4122807017543859,0.07941665997517341
0,roughness,15.0,sitting,hand,0.08421052631578947,0.7317826946411556
0,roughness,16.0,sitting,hand,0.3422554081127459,0.15148067820982514
0,roughness,1.0,hand,walking,0.31578947368421056,0.18782145580900952
0,roughness,2.0,hand,walking,0.37894736842105264,0.10959964442893559
0,roughness,3.0,hand,walking,0.15533130060501543,0.5254413553637161
0,roughness,4.0,hand,walking,0.17719298245614035,0.46801996198974094
0,roughness,5.0,hand,walking,0.1649122807017544,0.49988058994796014
0,roughness,6.0,hand,walking,0.4456140350877193,0.05586260497614902
0,roughness,7.0,hand,walking,-0.10350877192982455,0.6732515278554065
0,roughness,8.0,hand,walking,0.1105263157894737,0.6523856873272676
0,roughness,9.0,hand,walking,-0.20877192982456141,0.391033007093879
0,roughness,10.0,hand,walking,-0.36315789473684207,0.12645534372597733
0,roughness,11.0,hand,walking,0.2597630789778789,0.2828296184752782
0,roughness,12.0,hand,walking,-0.2771929824561403,0.25058889481209123
0,roughness,13.0,hand,walking,0.2368421052631579,0.32893104152682706
0,roughness,14.0,hand,walking,0.1456140350877193,0.5519696732095334
0,roughness,15.0,hand,walking,0.5385964912280702,0.01735062387146656
0,roughness,16.0,hand,walking,-0.017551559390397226,0.943145765313205
0,roughness,1.0,hand,sitting,0.37543859649122807,0.11319758006806778
0,roughness,2.0,hand,sitting,0.19473684210526312,0.4243459938790708
0,roughness,3.0,hand,sitting,-0.09473684210526316,0.6996571784752554
0,roughness,4.0,hand,sitting,0.4140350877192982,0.07801949398456286
0,roughness,5.0,hand,sitting,0.4333333333333333,0.06382621222101997
0,roughness,6.0,hand,sitting,0.4508771929824561,0.05268968314083469
0,roughness,7.0,hand,sitting,0.38070175438596493,0.10783179176413266
0,roughness,8.0,hand,sitting,0.20175438596491227,0.4075051414152554
0,roughness,9.0,hand,sitting,0.3719298245614035,0.11687923396377846
0,roughness,10.0,hand,sitting,0.543859649122807,0.016082818325237152
0,roughness,11.0,hand,sitting,0.48947368421052634,0.03341526206953935
0,roughness,12.0,hand,sitting,0.06666666666666667,0.7862629610688756
0,roughness,13.0,hand,sitting,0.5,0.02925803623664952
0,roughness,14.0,hand,sitting,0.4122807017543859,0.07941665997517341
0,roughness,15.0,hand,sitting,0.08421052631578947,0.7317826946411556
0,roughness,16.0,hand,sitting,0.3422554081127459,0.15148067820982514
0,roughness,1.0,hand,hand,1.0,0.0
0,roughness,2.0,hand,hand,1.0,0.0
0,roughness,3.0,hand,hand,1.0,0.0
0,roughness,4.0,hand,hand,1.0,0.0
0,roughness,5.0,hand,hand,1.0,0.0
0,roughness,6.0,hand,hand,1.0,0.0
0,roughness,7.0,hand,hand,1.0,0.0
0,roughness,8.0,hand,hand,1.0,0.0
0,roughness,9.0,hand,hand,1.0,0.0
0,roughness,10.0,hand,hand,1.0,0.0
0,roughness,11.0,hand,hand,1.0,0.0
0,roughness,12.0,hand,hand,1.0,0.0
0,roughness,13.0,hand,hand,1.0,0.0
0,roughness,14.0,hand,hand,1.0,0.0
0,roughness,15.0,hand,hand,1.0,0.0
0,roughness,16.0,hand,hand,0.9999999999999999,1.6790920362932472e-134
0,hardness,1.0,walking,walking,1.0,0.0
0,hardness,2.0,walking,walking,1.0,0.0
0,hardness,3.0,walking,walking,1.0,0.0
0,hardness,4.0,walking,walking,1.0,0.0
0,hardness,5.0,walking,walking,1.0,0.0
0,hardness,6.0,walking,walking,1.0,0.0
0,hardness,7.0,walking,walking,1.0,0.0
0,hardness,8.0,walking,walking,1.0,0.0
0,hardness,9.0,walking,walking,1.0,0.0
0,hardness,10.0,walking,walking,1.0,0.0
0,hardness,11.0,walking,walking,1.0,0.0
0,hardness,12.0,walking,walking,1.0,0.0
0,hardness,13.0,walking,walking,1.0,0.0
0,hardness,14.0,walking,walking,1.0,0.0
0,hardness,15.0,walking,walking,1.0,0.0
0,hardness,16.0,walking,walking,1.0,0.0
0,hardness,1.0,walking,sitting,0.232418218767983,0.3240988125052523
0,hardness,2.0,walking,sitting,0.6197819167146212,0.003559719918872517
0,hardness,3.0,walking,sitting,0.5218045112781955,0.0182849434820976
0,hardness,4.0,walking,sitting,0.6496240601503759,0.0019353332844401431
0,hardness,5.0,walking,sitting,-0.009022556390977442,0.9698849998123449
0,hardness,6.0,walking,sitting,0.5112781954887218,0.021220644133224758
0,hardness,7.0,walking,sitting,0.1518796992481203,0.5226819111403139
0,hardness,8.0,walking,sitting,0.17142857142857143,0.4698861728108753
0,hardness,9.0,walking,sitting,0.21954887218045113,0.352345677311515
0,hardness,10.0,walking,sitting,0.41052631578947363,0.07218723053142066
0,hardness,11.0,walking,sitting,0.6531228334986352,0.0017943502739863804
0,hardness,12.0,walking,sitting,0.21804511278195485,0.35573636611773685
0,hardness,13.0,walking,sitting,0.49793158842849417,0.025468536459116745
0,hardness,14.0,walking,sitting,0.4195488721804511,0.065548285182185
0,hardness,15.0,walking,sitting,0.2541353383458646,0.2795976355152773
0,hardness,16.0,walking,sitting,0.6152689415929128,0.0038830995458908873
0,hardness,1.0,walking,hand,0.1280701754385965,0.6013177937232191
0,hardness,2.0,walking,hand,0.45438596491228067,0.05065165269537556
0,hardness,3.0,walking,hand,0.0456140350877193,0.8528960735031589
0,hardness,4.0,walking,hand,0.45964912280701753,0.04770770316578596
0,hardness,5.0,walking,hand,0.22982456140350876,0.3438801731989136
0,hardness,6.0,walking,hand,0.5473684210526315,0.015279471990301049
0,hardness,7.0,walking,hand,0.16140350877192983,0.5091713427471698
0,hardness,8.0,walking,hand,-0.3333333333333333,0.16313885284404722
0,hardness,9.0,walking,hand,0.08771929824561404,0.7210236536238765
0,hardness,10.0,walking,hand,0.48947368421052634,0.03341526206953935
0,hardness,11.0,walking,hand,0.18771929824561404,0.4415495023823781
0,hardness,12.0,walking,hand,0.01754385964912281,0.9431706684765946
0,hardness,13.0,walking,hand,0.36315789473684207,0.12645534372597733
0,hardness,14.0,walking,hand,0.2912280701754386,0.22639719358125593
0,hardness,15.0,walking,hand,0.3929824561403509,0.09602690718358067
0,hardness,16.0,walking,hand,0.42105263157894735,0.07261203928039694
0,hardness,1.0,sitting,walking,0.232418218767983,0.3240988125052523
0,hardness,2.0,sitting,walking,0.6197819167146212,0.003559719918872517
0,hardness,3.0,sitting,walking,0.5218045112781955,0.0182849434820976
0,hardness,4.0,sitting,walking,0.6496240601503759,0.0019353332844401431
0,hardness,5.0,sitting,walking,-0.009022556390977442,0.9698849998123449
0,hardness,6.0,sitting,walking,0.5112781954887218,0.021220644133224758
0,hardness,7.0,sitting,walking,0.1518796992481203,0.5226819111403139
0,hardness,8.0,sitting,walking,0.17142857142857143,0.4698861728108753
0,hardness,9.0,sitting,walking,0.21954887218045113,0.352345677311515
0,hardness,10.0,sitting,walking,0.41052631578947363,0.07218723053142066
0,hardness,11.0,sitting,walking,0.6531228334986352,0.0017943502739863804
0,hardness,12.0,sitting,walking,0.21804511278195485,0.35573636611773685
0,hardness,13.0,sitting,walking,0.4979315884284942,0.025468536459116734
0,hardness,14.0,sitting,walking,0.4195488721804511,0.065548285182185
0,hardness,15.0,sitting,walking,0.2541353383458646,0.2795976355152773
0,hardness,16.0,sitting,walking,0.6152689415929128,0.0038830995458908873
0,hardness,1.0,sitting,sitting,0.9999999999999999,2.4335320021951557e-142
0,hardness,2.0,sitting,sitting,0.9999999999999999,2.4335320021951557e-142
0,hardness,3.0,sitting,sitting,1.0,0.0
0,hardness,4.0,sitting,sitting,1.0,0.0
0,hardness,5.0,sitting,sitting,1.0,0.0
0,hardness,6.0,sitting,sitting,1.0,0.0
0,hardness,7.0,sitting,sitting,1.0,0.0
0,hardness,8.0,sitting,sitting,1.0,0.0
0,hardness,9.0,sitting,sitting,1.0,0.0
0,hardness,10.0,sitting,sitting,1.0,0.0
0,hardness,11.0,sitting,sitting,1.0,0.0
0,hardness,12.0,sitting,sitting,1.0,0.0
0,hardness,13.0,sitting,sitting,0.9999999999999999,2.4335320021951557e-142
0,hardness,14.0,sitting,sitting,1.0,0.0
0,hardness,15.0,sitting,sitting,1.0,0.0
0,hardness,16.0,sitting,sitting,0.9999999999999999,2.4335320021951557e-142
0,hardness,1.0,sitting,hand,0.702939953585409,0.0007883249018413252
0,hardness,2.0,sitting,hand,0.8328214930743484,9.631966035024369e-06
0,hardness,3.0,sitting,hand,0.2964912280701754,0.21773024394667423
0,hardness,4.0,sitting,hand,0.6140350877192983,0.005161852692152181
0,hardness,5.0,sitting,hand,0.6701754385964912,0.001691308018215136
0,hardness,6.0,sitting,hand,0.7333333333333334,0.0003534246381327732
0,hardness,7.0,sitting,hand,0.5684210526315789,0.011106774915463205
0,hardness,8.0,sitting,hand,0.5912280701754385,0.007676472592226471
0,hardness,9.0,sitting,hand,-0.03508771929824562,0.8866031221985
0,hardness,10.0,sitting,hand,0.7280701754385965,0.0004091009120770056
0,hardness,11.0,sitting,hand,0.23617217179565322,0.33034138605215246
0,hardness,12.0,sitting,hand,0.46315789473684205,0.04581884294386521
0,hardness,13.0,sitting,hand,0.6011409091211048,0.006483225573244214
0,hardness,14.0,sitting,hand,0.6263157894736843,0.004116972306622232
0,hardness,15.0,sitting,hand,0.6807017543859648,0.0013370693862695168
0,hardness,16.0,sitting,hand,0.7555946317566006,0.00018311334826564947
0,hardness,1.0,hand,walking,0.1280701754385965,0.6013177937232191
0,hardness,2.0,hand,walking,0.45438596491228067,0.05065165269537556
0,hardness,3.0,hand,walking,0.0456140350877193,0.8528960735031589
0,hardness,4.0,hand,walking,0.45964912280701753,0.04770770316578596
0,hardness,5.0,hand,walking,0.22982456140350876,0.3438801731989136
0,hardness,6.0,hand,walking,0.5473684210526315,0.015279471990301049
0,hardness,7.0,hand,walking,0.16140350877192983,0.5091713427471698
0,hardness,8.0,hand,walking,-0.3333333333333333,0.16313885284404722
0,hardness,9.0,hand,walking,0.08771929824561404,0.7210236536238765
0,hardness,10.0,hand,walking,0.48947368421052634,0.03341526206953935
0,hardness,11.0,hand,walking,0.18771929824561404,0.4415495023823781
0,hardness,12.0,hand,walking,0.01754385964912281,0.9431706684765946
0,hardness,13.0,hand,walking,0.36315789473684207,0.12645534372597733
0,hardness,14.0,hand,walking,0.2912280701754386,0.22639719358125593
0,hardness,15.0,hand,walking,0.3929824561403509,0.09602690718358067
0,hardness,16.0,hand,walking,0.42105263157894735,0.07261203928039694
0,hardness,1.0,hand,sitting,0.7029399535854088,0.0007883249018413281
0,hardness,2.0,hand,sitting,0.8328214930743484,9.631966035024369e-06
0,hardness,3.0,hand,sitting,0.2964912280701754,0.21773024394667423
0,hardness,4.0,hand,sitting,0.6140350877192983,0.005161852692152181
0,hardness,5.0,hand,sitting,0.6701754385964912,0.001691308018215136
0,hardness,6.0,hand,sitting,0.7333333333333334,0.0003534246381327732
0,hardness,7.0,hand,sitting,0.5684210526315789,0.011106774915463205
0,hardness,8.0,hand,sitting,0.5912280701754385,0.007676472592226471
0,hardness,9.0,hand,sitting,-0.03508771929824562,0.8866031221985
0,hardness,10.0,hand,sitting,0.7280701754385965,0.0004091009120770056
0,hardness,11.0,hand,sitting,0.23617217179565322,0.33034138605215246
0,hardness,12.0,hand,sitting,0.46315789473684205,0.04581884294386521
0,hardness,13.0,hand,sitting,0.6011409091211048,0.006483225573244214
0,hardness,14.0,hand,sitting,0.6263157894736843,0.004116972306622232
0,hardness,15.0,hand,sitting,0.6807017543859648,0.0013370693862695168
0,hardness,16.0,hand,sitting,0.7555946317566005,0.00018311334826565014
0,hardness,1.0,hand,hand,1.0,0.0
0,hardness,2.0,hand,hand,1.0,0.0
0,hardness,3.0,hand,hand,1.0,0.0
0,hardness,4.0,hand,hand,1.0,0.0
0,hardness,5.0,hand,hand,1.0,0.0
0,hardness,6.0,hand,hand,1.0,0.0
0,hardness,7.0,hand,hand,1.0,0.0
0,hardness,8.0,hand,hand,1.0,0.0
0,hardness,9.0,hand,hand,1.0,0.0
0,hardness,10.0,hand,hand,1.0,0.0
0,hardness,11.0,hand,hand,1.0,0.0
0,hardness,12.0,hand,hand,1.0,0.0
0,hardness,13.0,hand,hand,1.0,0.0
0,hardness,14.0,hand,hand,1.0,0.0
0,hardness,15.0,hand,hand,1.0,0.0
0,hardness,16.0,hand,hand,1.0,0.0
0,slipperiness,1.0,walking,walking,1.0,0.0
0,slipperiness,2.0,walking,walking,1.0,0.0
0,slipperiness,3.0,walking,walking,1.0,0.0
0,slipperiness,4.0,walking,walking,1.0,0.0
0,slipperiness,5.0,walking,walking,1.0,0.0
0,slipperiness,6.0,walking,walking,1.0,0.0
0,slipperiness,7.0,walking,walking,1.0,0.0
0,slipperiness,8.0,walking,walking,1.0,0.0
0,slipperiness,9.0,walking,walking,1.0,0.0
0,slipperiness,10.0,walking,walking,1.0,0.0
0,slipperiness,11.0,walking,walking,1.0,0.0
0,slipperiness,12.0,walking,walking,0.9999999999999999,2.4335320021951557e-142
0,slipperiness,13.0,walking,walking,1.0,0.0
0,slipperiness,14.0,walking,walking,1.0,0.0
0,slipperiness,15.0,walking,walking,0.9999999999999999,2.4335320021951557e-142
0,slipperiness,16.0,walking,walking,1.0,0.0
0,slipperiness,1.0,walking,sitting,0.5969924812030075,0.005451989383349595
0,slipperiness,2.0,walking,sitting,0.6348251671203159,0.0026385232341283207
0,slipperiness,3.0,walking,sitting,0.24511278195488717,0.2976005003886618
0,slipperiness,4.0,walking,sitting,0.7142857142857143,0.0004032525947441218
0,slipperiness,5.0,walking,sitting,0.6872180451127818,0.0008149369421759723
0,slipperiness,6.0,walking,sitting,0.4586466165413533,0.04195431160933542
0,slipperiness,7.0,walking,sitting,-0.17293233082706763,0.4659400851924169
0,slipperiness,8.0,walking,sitting,0.6390977443609022,0.002416579396833125
0,slipperiness,9.0,walking,sitting,0.5669172932330826,0.00914627004759854
0,slipperiness,10.0,walking,sitting,0.4481203007518797,0.04753173575066418
0,slipperiness,11.0,walking,sitting,0.6060150375939849,0.004622614670722059
0,slipperiness,12.0,walking,sitting,0.36254233477724207,0.11619717541780407
0,slipperiness,13.0,walking,sitting,0.3924812030075188,0.08695594245899081
0,slipperiness,14.0,walking,sitting,0.15795412925979427,0.5059845783718615
0,slipperiness,15.0,walking,sitting,0.628807866958038,0.0029796996953765026
0,slipperiness,16.0,walking,sitting,0.8285714285714285,6.401019922542658e-06
0,slipperiness,1.0,walking,hand,0.5508771929824561,0.01450849826103622
0,slipperiness,2.0,walking,hand,0.5333333333333333,0.018696680998711242
0,slipperiness,3.0,walking,hand,0.057894736842105256,0.8138813182743415
0,slipperiness,4.0,walking,hand,0.487719298245614,0.03415056320296079
0,slipperiness,5.0,walking,hand,0.21052631578947367,0.38697323683164964
0,slipperiness,6.0,walking,hand,0.3456140350877193,0.14724536947686556
0,slipperiness,7.0,walking,hand,-0.0824561403508772,0.7371803788984196
0,slipperiness,8.0,walking,hand,0.743859649122807,0.0002610931013108433
0,slipperiness,9.0,walking,hand,0.6350877192982456,0.0034826965970136026
0,slipperiness,10.0,walking,hand,0.6614035087719298,0.0020432970360145125
0,slipperiness,11.0,walking,hand,0.45614035087719296,0.04965539587956976
0,slipperiness,12.0,walking,hand,0.49758670871776134,0.030173387011417946
0,slipperiness,13.0,walking,hand,0.7649122807017543,0.00013623394171185458
0,slipperiness,14.0,walking,hand,0.3473684210526316,0.1450660569776148
0,slipperiness,15.0,walking,hand,0.4352786728818512,0.06251112402712904
0,slipperiness,16.0,walking,hand,0.7017543859649124,0.0008117889387414537
0,slipperiness,1.0,sitting,walking,0.5969924812030075,0.005451989383349595
0,slipperiness,2.0,sitting,walking,0.6348251671203159,0.0026385232341283207
0,slipperiness,3.0,sitting,walking,0.24511278195488717,0.2976005003886618
0,slipperiness,4.0,sitting,walking,0.7142857142857143,0.0004032525947441218
0,slipperiness,5.0,sitting,walking,0.6872180451127818,0.0008149369421759723
0,slipperiness,6.0,sitting,walking,0.4586466165413533,0.04195431160933542
0,slipperiness,7.0,sitting,walking,-0.17293233082706763,0.4659400851924169
0,slipperiness,8.0,sitting,walking,0.6390977443609022,0.002416579396833125
0,slipperiness,9.0,sitting,walking,0.5669172932330826,0.00914627004759854
0,slipperiness,10.0,sitting,walking,0.4481203007518797,0.04753173575066418
0,slipperiness,11.0,sitting,walking,0.6060150375939849,0.004622614670722059
0,slipperiness,12.0,sitting,walking,0.362542334777242,0.11619717541780418
0,slipperiness,13.0,sitting,walking,0.3924812030075188,0.08695594245899081
0,slipperiness,14.0,sitting,walking,0.15795412925979424,0.5059845783718615
0,slipperiness,15.0,sitting,walking,0.628807866958038,0.0029796996953765026
0,slipperiness,16.0,sitting,walking,0.8285714285714285,6.401019922542658e-06
0,slipperiness,1.0,sitting,sitting,1.0,0.0
0,slipperiness,2.0,sitting,sitting,0.9999999999999999,2.4335320021951557e-142
0,slipperiness,3.0,sitting,sitting,1.0,0.0
0,slipperiness,4.0,sitting,sitting,1.0,0.0
0,slipperiness,5.0,sitting,sitting,1.0,0.0
0,slipperiness,6.0,sitting,sitting,1.0,0.0
0,slipperiness,7.0,sitting,sitting,1.0,0.0
0,slipperiness,8.0,sitting,sitting,1.0,0.0
0,slipperiness,9.0,sitting,sitting,1.0,0.0
0,slipperiness,10.0,sitting,sitting,1.0,0.0
0,slipperiness,11.0,sitting,sitting,1.0,0.0
0,slipperiness,12.0,sitting,sitting,1.0,0.0
0,slipperiness,13.0,sitting,sitting,1.0,0.0
0,slipperiness,14.0,sitting,sitting,0.9999999999999999,2.4335320021951557e-142
0,slipperiness,15.0,sitting,sitting,1.0,0.0
0,slipperiness,16.0,sitting,sitting,1.0,0.0
0,slipperiness,1.0,sitting,hand,0.7228070175438598,0.0004720201792145143
0,slipperiness,2.0,sitting,hand,0.7003072196768493,0.0008412231594887993
0,slipperiness,3.0,sitting,hand,0.5842105263157895,0.008624534642976708
0,slipperiness,4.0,sitting,hand,0.8,3.9238561936082586e-05
0,slipperiness,5.0,sitting,hand,0.28421052631578947,0.23829623657568158
0,slipperiness,6.0,sitting,hand,0.3596491228070175,0.13043678910162934
0,slipperiness,7.0,sitting,hand,0.5263157894736842,0.020618905425445828
0,slipperiness,8.0,sitting,hand,0.7017543859649124,0.0008117889387414537
0,slipperiness,9.0,sitting,hand,0.6912280701754386,0.0010470965319447035
0,slipperiness,10.0,sitting,hand,0.6947368421052632,0.0009630296745724594
0,slipperiness,11.0,sitting,hand,0.4736842105263158,0.04049410836851531
0,slipperiness,12.0,sitting,hand,0.28070175438596495,0.24439328171471775
0,slipperiness,13.0,sitting,hand,0.5508771929824561,0.01450849826103622
0,slipperiness,14.0,sitting,hand,0.32470384872234864,0.1749853797113808
0,slipperiness,15.0,sitting,hand,0.7684210526315789,0.00012145768964752966
0,slipperiness,16.0,sitting,hand,0.8491228070175438,4.269691764351799e-06
0,slipperiness,1.0,hand,walking,0.5508771929824561,0.01450849826103622
0,slipperiness,2.0,hand,walking,0.5333333333333333,0.018696680998711242
0,slipperiness,3.0,hand,walking,0.057894736842105256,0.8138813182743415
0,slipperiness,4.0,hand,walking,0.487719298245614,0.03415056320296079
0,slipperiness,5.0,hand,walking,0.21052631578947367,0.38697323683164964
0,slipperiness,6.0,hand,walking,0.3456140350877193,0.14724536947686556
0,slipperiness,7.0,hand,walking,-0.0824561403508772,0.7371803788984196
0,slipperiness,8.0,hand,walking,0.743859649122807,0.0002610931013108433
0,slipperiness,9.0,hand,walking,0.6350877192982456,0.0034826965970136026
0,slipperiness,10.0,hand,walking,0.6614035087719298,0.0020432970360145125
0,slipperiness,11.0,hand,walking,0.45614035087719296,0.04965539587956976
0,slipperiness,12.0,hand,walking,0.49758670871776134,0.030173387011417946
0,slipperiness,13.0,hand,walking,0.7649122807017543,0.00013623394171185458
0,slipperiness,14.0,hand,walking,0.3473684210526316,0.1450660569776148
0,slipperiness,15.0,hand,walking,0.4352786728818512,0.06251112402712904
0,slipperiness,16.0,hand,walking,0.7017543859649124,0.0008117889387414537
0,slipperiness,1.0,hand,sitting,0.7228070175438598,0.0004720201792145143
0,slipperiness,2.0,hand,sitting,0.7003072196768493,0.0008412231594887993
0,slipperiness,3.0,hand,sitting,0.5842105263157895,0.008624534642976708
0,slipperiness,4.0,hand,sitting,0.8,3.9238561936082586e-05
0,slipperiness,5.0,hand,sitting,0.28421052631578947,0.23829623657568158
0,slipperiness,6.0,hand,sitting,0.3596491228070175,0.13043678910162934
0,slipperiness,7.0,hand,sitting,0.5263157894736842,0.020618905425445828
0,slipperiness,8.0,hand,sitting,0.7017543859649124,0.0008117889387414537
0,slipperiness,9.0,hand,sitting,0.6912280701754386,0.0010470965319447035
0,slipperiness,10.0,hand,sitting,0.6947368421052632,0.0009630296745724594
0,slipperiness,11.0,hand,sitting,0.4736842105263158,0.04049410836851531
0,slipperiness,12.0,hand,sitting,0.28070175438596495,0.24439328171471775
0,slipperiness,13.0,hand,sitting,0.5508771929824561,0.01450849826103622
0,slipperiness,14.0,hand,sitting,0.32470384872234864,0.1749853797113808
0,slipperiness,15.0,hand,sitting,0.7684210526315789,0.00012145768964752966
0,slipperiness,16.0,hand,sitting,0.8491228070175438,4.269691764351799e-06
0,slipperiness,1.0,hand,hand,1.0,0.0
0,slipperiness,2.0,hand,hand,1.0,0.0
0,slipperiness,3.0,hand,hand,1.0,0.0
0,slipperiness,4.0,hand,hand,1.0,0.0
0,slipperiness,5.0,hand,hand,1.0,0.0
0,slipperiness,6.0,hand,hand,1.0,0.0
0,slipperiness,7.0,hand,hand,1.0,0.0
0,slipperiness,8.0,hand,hand,1.0,0.0
0,slipperiness,9.0,hand,hand,1.0,0.0
0,slipperiness,10.0,hand,hand,1.0,0.0
0,slipperiness,11.0,hand,hand,1.0,0.0
0,slipperiness,12.0,hand,hand,1.0,0.0
0,slipperiness,13.0,hand,hand,1.0,0.0
